time: 2024-10-31 15:48:24, corrdinates: x=-79.37222205268012, y=-38.599998474121094, z=685.9444444444443
time: 2024-10-31 15:49:24, corrdinates: x=-94.45000076293945, y=-36.15833409627279, z=684.9666666666667
time: 2024-10-31 15:50:24, corrdinates: x=-94.66666666666667, y=-44.31666607326932, z=684.7555555555556
time: 2024-10-31 15:51:14, corrdinates: x=-89.87500127156575, y=-44.57499885559082, z=685.0916666666667
time: 2024-10-31 15:52:41, corrdinates: x=-92.72222137451172, y=-37.12777794731988, z=684.9722222222222
time: 2024-10-31 15:53:44, corrdinates: x=-72.95833333333333, y=-38.616665522257485, z=686.475
time: 2024-10-31 15:55:09, corrdinates: x=-55.5, y=-46.61666679382324, z=687.6666666666666
time: 2024-10-31 15:57:06, corrdinates: x=-44.22500038146973, y=-45.66250038146973, z=688.45
time: 2024-10-31 15:58:12, corrdinates: x=-11.316666920979818, y=-76.06111229790582, z=690.9944444444444
time: 2024-10-31 15:58:55, corrdinates: x=0, y=0, z=0
time: 2024-10-31 15:59:41, corrdinates: x=-19.429999923706056, y=-169.7699981689453, z=689.49
time: 2024-10-31 16:01:21, corrdinates: x=-18.309999847412108, y=-124.93000030517578, z=690.1400000000001
time: 2024-10-31 16:02:43, corrdinates: x=-16.15555540720622, y=-103.68333265516493, z=690.5
time: 2024-10-31 16:03:35, corrdinates: x=-16.41249990463257, y=-115.5875015258789, z=690.35
time: 2024-10-31 16:05:18, corrdinates: x=-18.58333290947808, y=-126.48333231608073, z=690.1000000000001
time: 2024-10-31 16:06:24, corrdinates: x=-19.725000381469727, y=6.924999952316284, z=690.6833333333333
time: 2024-10-31 16:08:02, corrdinates: x=-23.34999942779541, y=24.516666412353516, z=690.4499999999999
time: 2024-10-31 16:09:24, corrdinates: x=-21.34375023841858, y=17.481249570846558, z=690.4499999999999
time: 2024-10-31 16:10:45, corrdinates: x=-16.138888676961262, y=46.99444452921549, z=691.0277777777778
time: 2024-10-31 16:11:58, corrdinates: x=-12.041666825612387, y=60.55833371480306, z=691.4000000000001
time: 2024-10-31 16:13:23, corrdinates: x=-17.028571265084402, y=-33.642857142857146, z=690.7285714285714
time: 2024-10-31 16:14:13, corrdinates: x=-18.058333079020183, y=-71.9000015258789, z=690.5
time: 2024-10-31 16:14:55, corrdinates: x=-16.799999872843426, y=-71.81111229790582, z=660.7555555555556
time: 2024-10-31 16:16:14, corrdinates: x=-6.077777809566921, y=-69.50555589463976, z=648.0
time: 2024-10-31 16:16:49, corrdinates: x=-5.522222254011366, y=-68.19444359673395, z=635.6833333333333
time: 2024-10-31 16:17:20, corrdinates: x=-0.6899999916553498, y=-82.07000122070312, z=617.83
time: 2024-10-31 16:17:49, corrdinates: x=-2.475000023841858, y=-71.26249885559082, z=599.8000000000001
time: 2024-10-31 16:18:25, corrdinates: x=14.011111047532824, y=-67.49444495307074, z=583.338888888889
time: 2024-10-31 16:19:07, corrdinates: x=19.70999984741211, y=-86.84000091552734, z=564.6899999999999
time: 2024-10-31 16:19:41, corrdinates: x=19.762499809265137, y=-87.73750114440918, z=544.7125000000001
time: 2024-10-31 16:20:18, corrdinates: x=13.258333365122477, y=-78.5, z=527.9083333333333
time: 2024-10-31 16:23:32, corrdinates: x=19.535714285714285, y=-107.70714242117745, z=512.0285714285716
